category,supercategory,n,zs_mask_iou,lora_mask_iou,delta_mask_iou,zs_box_iou,lora_box_iou,delta_box_iou,lora_det_rate,lora_wins,zs_wins,ties
sock,legs and feet,2,0.0,0.5053521563760471,0.5053521563760471,0.0,0.5260824263095856,0.5260824263095856,1.0,2,0,0
buckle,closures,1,0.001772283863280959,0.18356643356643357,0.1817941497031526,0.0010459049372002482,0.14646048843860626,0.14541458350140601,1.0,1,0,0
neckline,garment parts,141,0.16862266189718292,0.29073469579435773,0.1221120338971748,0.5183613062241769,0.6996594307950784,0.18129812457090153,1.0,115,26,0
"bag, wallet",others,10,0.7382728448154781,0.8294995047926994,0.09122665997722121,0.7569280922412872,0.8240517914295197,0.06712369918823242,0.9,5,4,1
coat,wholebody,20,0.906331037010814,0.9371646448502128,0.030833607839398647,0.962543985247612,0.9652622401714325,0.0027182549238204956,1.0,9,10,1
lapel,garment parts,9,0.07691335744509464,0.09974788798935369,0.02283453054425903,0.29946086183190346,0.3256928672393163,0.026232005407412846,1.0,5,4,0
watch,arms and hands,9,0.6295881212264924,0.647133304636105,0.017545183409612548,0.7900992830594381,0.8358063797156016,0.045707096656163536,1.0,5,3,1
"top, t-shirt, sweatshirt",upperbody,132,0.8596492396995544,0.8685807970690147,0.00893155736946103,0.8864573146442346,0.9072053740929925,0.020748059448757857,1.0,65,67,0
umbrella,others,1,0.9064794469156975,0.9142159522517634,0.0077365053360659575,0.8711220026016235,0.9683789610862732,0.09725695848464966,1.0,1,0,0
glasses,head,41,0.765372926446687,0.7685040377045953,0.003131111257908473,0.8490960772444562,0.8438135945215458,-0.005282482722910439,1.0,21,14,6
pants,lowerbody,43,0.9449806669816571,0.9477287820840881,0.002748115102431112,0.9447522038637206,0.9556942457376525,0.010942041873931885,1.0,22,18,3
glove,arms and hands,1,0.9015296367112811,0.9022422750888707,0.0007126383775896139,0.9060815572738647,0.9302877187728882,0.024206161499023438,1.0,1,0,0
applique,decorations,2,0.025885977311454242,0.02659649357414996,0.0007105162626957152,0.04723015008494258,0.04937604418955743,0.002145894104614854,1.0,1,1,0
cardigan,upperbody,1,0.9296179757929077,0.9300175631598248,0.00039958736691703134,0.9681860208511353,0.9641780853271484,-0.004007935523986816,1.0,1,0,0
hat,head,30,0.8788966070721689,0.8792627412209235,0.0003661341487545637,0.9599856972694397,0.9634304563204448,0.0034447590510050456,1.0,11,11,8
leg warmer,legs and feet,1,0.9384947612572982,0.9385747420619052,7.998080460691614e-05,0.9754083752632141,0.9817624092102051,0.006354033946990967,1.0,1,0,0
bead,decorations,1,0.0,0.0,0.0,0.0018328065052628517,0.0009604847291484475,-0.0008723217761144042,1.0,0,0,1
flower,decorations,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
sweater,upperbody,5,0.7648117357552977,0.764707482684017,-0.00010425307128061008,0.8129804641008377,0.8144347459077835,0.0014542818069458007,1.0,3,2,0
skirt,lowerbody,27,0.9467616245120787,0.9465321907572508,-0.00022943375482813936,0.963115601627915,0.9660547199072661,0.0029391182793511283,1.0,15,12,0
dress,wholebody,242,0.9188305126641614,0.9179749236838984,-0.0008555889802627388,0.9487085689690488,0.9499897795829398,0.001281210613891113,1.0,97,134,11
sequin,decorations,1,0.001641690520289611,0.0,-0.001641690520289611,0.009962852112948895,0.0013779198052361608,-0.008584932307712734,1.0,0,1,0
