category,supercategory,n,zs_mask_iou,lora_mask_iou,delta_mask_iou,zs_box_iou,lora_box_iou,delta_box_iou,lora_det_rate,lora_wins,zs_wins,ties
sock,legs and feet,2,0.0,0.5223784637959252,0.5223784637959252,0.0,0.6576611399650574,0.6576611399650574,1.0,2,0,0
buckle,closures,1,0.001772283863280959,0.18453427065026362,0.18276198678698266,0.0010459049372002482,0.14564624428749084,0.1446003393502906,1.0,1,0,0
neckline,garment parts,141,0.16862266189718292,0.294843373315089,0.1262207114179062,0.5183613062241769,0.7428421218291665,0.22448081560498961,0.9929078014184397,117,23,1
"bag, wallet",others,10,0.7382728448154781,0.8293315838785208,0.09105873906304265,0.7569280922412872,0.829781448841095,0.07285335659980774,0.9,4,4,2
rivet,decorations,5,0.3007391595954907,0.38063107933903667,0.07989191974354597,0.3312521049643692,0.4185607671737671,0.08730866220939788,0.6,3,2,0
watch,arms and hands,9,0.6295881212264924,0.6740940018509197,0.04450588062442732,0.7900992830594381,0.8411032921738095,0.051004009114371404,1.0,6,3,0
coat,wholebody,20,0.906331037010814,0.9372189945059463,0.03088795749513209,0.962543985247612,0.9665260553359986,0.003982070088386536,1.0,11,9,0
"top, t-shirt, sweatshirt",upperbody,132,0.8596492396995544,0.8817581673411544,0.0221089276415998,0.8864573146442346,0.9116004330924514,0.025143118448216806,1.0,72,59,1
belt,waist,8,0.6596103498075068,0.6812096667365257,0.021599316929018772,0.7292378032580018,0.8285093307495117,0.09927152749150991,1.0,6,2,0
lapel,garment parts,9,0.07691335744509464,0.092905336626056,0.01599197918096136,0.29946086183190346,0.3310951507753796,0.03163428894347615,1.0,7,2,0
umbrella,others,1,0.9064794469156975,0.9144376322500135,0.007958185334316026,0.8711220026016235,0.9792316555976868,0.10810965299606323,1.0,1,0,0
collar,garment parts,14,0.4545531820600197,0.46100184032688085,0.006448658266861061,0.6567686963826418,0.7346073367765972,0.07783864039395537,1.0,11,3,0
pants,lowerbody,43,0.9449806669816571,0.9478532523542283,0.002872585372571551,0.9447522038637206,0.9569383998249852,0.012186195961264678,1.0,28,15,0
cardigan,upperbody,1,0.9296179757929077,0.9309120382878536,0.0012940624949459023,0.9681860208511353,0.968218982219696,3.2961368560791016e-05,1.0,1,0,0
glove,arms and hands,1,0.9015296367112811,0.9022689994532531,0.0007393627419720605,0.9060815572738647,0.927514910697937,0.021433353424072266,1.0,1,0,0
applique,decorations,2,0.025885977311454242,0.026593914618340497,0.0007079373068862524,0.04723015008494258,0.049198017455637455,0.0019678673706948757,1.0,1,1,0
hat,head,30,0.8788966070721689,0.8793068464555901,0.0004102393834211774,0.9599856972694397,0.9630962769190471,0.0031105796496073406,1.0,14,11,5
bead,decorations,1,0.0,0.00021250472232716282,0.00021250472232716282,0.0018328065052628517,0.00011258469749009237,-0.0017202218077727593,1.0,1,0,0
flower,decorations,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
leg warmer,legs and feet,1,0.9384947612572982,0.9384947612572982,0.0,0.9754083752632141,0.9776676893234253,0.0022593140602111816,1.0,0,0,1
sweater,upperbody,5,0.7648117357552977,0.7647798855054561,-3.185024984161326e-05,0.8129804641008377,0.8146773457527161,0.001696881651878357,1.0,3,1,1
skirt,lowerbody,27,0.9467616245120787,0.9464356674191026,-0.00032595709297639013,0.963115601627915,0.9680343491059763,0.004918747478061252,1.0,15,10,2
jumpsuit,wholebody,10,0.9135986750458466,0.9131812636582228,-0.00041741138762352303,0.9212740957736969,0.9289766907691955,0.007702594995498658,1.0,5,5,0
"tights, stockings",legs and feet,3,0.8603504985554516,0.8596974316549698,-0.0006530669004817616,0.8871949315071106,0.8878424962361654,0.0006475647290547689,1.0,1,2,0
glasses,head,41,0.765372926446687,0.764389555217457,-0.000983371229230006,0.8490960772444562,0.8445329124607691,-0.004563164783687126,1.0,22,17,2
sequin,decorations,1,0.001641690520289611,0.0,-0.001641690520289611,0.009962852112948895,0.0013766017509624362,-0.008586250361986458,1.0,0,1,0
dress,wholebody,242,0.9188305126641614,0.91710402974501,-0.0017264829191507489,0.9487085689690488,0.9505117701228,0.0018032011537512471,1.0,120,115,7
"headband, head covering, hair accessory",head,25,0.7139320090106339,0.7068217744732286,-0.007110234537405316,0.8096509660338052,0.8197471295110881,0.010096163477282972,1.0,12,13,0
tie,neck,1,0.7737226277372263,0.7651551312649165,-0.00856749647230981,0.7774477601051331,0.7292510867118835,-0.04819667339324951,1.0,0,1,0
shorts,lowerbody,23,0.9181508510427298,0.9071297149082669,-0.011021136134463176,0.9318292270536008,0.9297084562156511,-0.00212077083794967,1.0,11,12,0
shoe,legs and feet,187,0.7518694147307861,0.7406807389200251,-0.01118867581076031,0.8831417101160199,0.8861267282328703,0.002985018116850306,0.983957219251337,94,77,16
ruffle,decorations,4,0.31453513673045,0.2966185903978139,-0.017916546332636122,0.3069660938344896,0.28009279957041144,-0.02687329426407814,0.75,1,2,1
vest,upperbody,3,0.931109667006754,0.9108494763791205,-0.020260190627633363,0.9380565881729126,0.9278402527173361,-0.010216335455576578,1.0,1,2,0
sleeve,garment parts,79,0.8073775754531816,0.7701791136438901,-0.037198461809291775,0.881685117000266,0.8511853832987291,-0.030499733701536927,0.9873417721518988,40,39,0
hood,garment parts,1,0.09391025641025641,0.055334234859836996,-0.03857602155041941,0.2412625551223755,0.24306170642375946,0.0017991513013839722,1.0,0,1,0
jacket,upperbody,25,0.9003660996704886,0.8463048801466652,-0.05406121952382346,0.959933431148529,0.8967370307445526,-0.06319640040397644,0.96,13,12,0
"shirt, blouse",upperbody,18,0.8461380349245603,0.776537450053266,-0.06960058487129434,0.9274494581752353,0.8743181563913822,-0.053131301783853106,1.0,12,6,0
scarf,others,8,0.898001438254325,0.8093754070279616,-0.0886260312263633,0.9165037646889687,0.845947315916419,-0.07055644877254963,1.0,4,4,0
pocket,garment parts,19,0.4863456742849955,0.35962631592515104,-0.12671935835984435,0.5411552603013421,0.43617719254995646,-0.10497806775138567,0.6842105263157895,9,10,0
zipper,closures,4,0.32425976539405416,0.151587850107872,-0.17267191528618217,0.5459196660667658,0.42015382647514343,-0.12576583959162235,0.5,1,2,1
