model,box_threshold,text_threshold,detection_rate,mean_box_iou,mean_mask_iou
zero_shot,0.15,0.15,0.9950,0.8291,0.7548
zero_shot,0.15,0.2,0.9950,0.8291,0.7548
zero_shot,0.15,0.25,0.9950,0.8291,0.7548
zero_shot,0.15,0.3,0.9950,0.8291,0.7548
zero_shot,0.2,0.15,0.9850,0.8077,0.7371
zero_shot,0.2,0.2,0.9850,0.8077,0.7371
zero_shot,0.2,0.25,0.9850,0.8077,0.7371
zero_shot,0.2,0.3,0.9850,0.8077,0.7371
zero_shot,0.25,0.15,0.9650,0.7893,0.7198
zero_shot,0.25,0.2,0.9650,0.7893,0.7198
zero_shot,0.25,0.25,0.9650,0.7893,0.7198
zero_shot,0.25,0.3,0.9650,0.7893,0.7198
zero_shot,0.3,0.15,0.9350,0.7526,0.6934
zero_shot,0.3,0.2,0.9350,0.7526,0.6934
zero_shot,0.3,0.25,0.9350,0.7526,0.6934
zero_shot,0.3,0.3,0.9350,0.7526,0.6934
zero_shot,0.35,0.15,0.8900,0.7262,0.6739
zero_shot,0.35,0.2,0.8900,0.7262,0.6739
zero_shot,0.35,0.25,0.8900,0.7262,0.6739
zero_shot,0.35,0.3,0.8900,0.7262,0.6739
zero_shot,0.4,0.15,0.8000,0.6721,0.6240
zero_shot,0.4,0.2,0.8000,0.6721,0.6240
zero_shot,0.4,0.25,0.8000,0.6721,0.6240
zero_shot,0.4,0.3,0.8000,0.6721,0.6240
lora_v2,0.15,0.15,0.9650,0.8555,0.7631
lora_v2,0.15,0.2,0.9650,0.8555,0.7631
lora_v2,0.15,0.25,0.9650,0.8555,0.7631
lora_v2,0.15,0.3,0.9650,0.8555,0.7631
lora_v2,0.2,0.15,0.9500,0.8341,0.7526
lora_v2,0.2,0.2,0.9500,0.8341,0.7526
lora_v2,0.2,0.25,0.9500,0.8341,0.7526
lora_v2,0.2,0.3,0.9500,0.8341,0.7526
lora_v2,0.25,0.15,0.9150,0.7975,0.7200
lora_v2,0.25,0.2,0.9150,0.7975,0.7200
lora_v2,0.25,0.25,0.9150,0.7975,0.7200
lora_v2,0.25,0.3,0.9150,0.7975,0.7200
lora_v2,0.3,0.15,0.8000,0.6972,0.6365
lora_v2,0.3,0.2,0.8000,0.6972,0.6365
lora_v2,0.3,0.25,0.8000,0.6972,0.6365
lora_v2,0.3,0.3,0.8000,0.6972,0.6365
lora_v2,0.35,0.15,0.6050,0.5330,0.5012
lora_v2,0.35,0.2,0.6050,0.5330,0.5012
lora_v2,0.35,0.25,0.6050,0.5330,0.5012
lora_v2,0.35,0.3,0.6050,0.5330,0.5012
lora_v2,0.4,0.15,0.4900,0.4463,0.4231
lora_v2,0.4,0.2,0.4900,0.4463,0.4231
lora_v2,0.4,0.25,0.4900,0.4463,0.4231
lora_v2,0.4,0.3,0.4900,0.4463,0.4231
